Format Version,1.23,Take Name,robot-palpation-config,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-08-19 02.57.48.671 AM,Capture Start Frame,92824,Total Frames in Take,118,Total Exported Frames,118,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,phantom,phantom,phantom,phantom,phantom,phantom,phantom,an-an-base,an-an-base,an-an-base,an-an-base,an-an-base,an-an-base,an-an-base
,ID,6769EE33E5C11EE711CCB4F034C1EA8,6769EE33E5C11EE711CCB4F034C1EA8,6769EE33E5C11EE711CCB4F034C1EA8,6769EE33E5C11EE711CCB4F034C1EA8,6769EE33E5C11EE711CCB4F034C1EA8,6769EE33E5C11EE711CCB4F034C1EA8,6769EE33E5C11EE711CCB4F034C1EA8,738B011F3E5D11EE711CCB4F034C1EA8,738B011F3E5D11EE711CCB4F034C1EA8,738B011F3E5D11EE711CCB4F034C1EA8,738B011F3E5D11EE711CCB4F034C1EA8,738B011F3E5D11EE711CCB4F034C1EA8,738B011F3E5D11EE711CCB4F034C1EA8,738B011F3E5D11EE711CCB4F034C1EA8
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.006086,-0.009705,-0.002078,0.999932,-0.467092,-0.470810,0.062989,-0.000022,-0.000227,-0.000001,1.000000,0.202750,-0.674608,0.012238
1,0.008000,-0.007329,-0.012123,-0.001646,0.999898,-0.467049,-0.470789,0.062967,0.000321,-0.000672,0.000224,1.000000,0.202694,-0.674623,0.012278
2,0.017000,-0.007549,-0.012368,-0.001880,0.999893,-0.467085,-0.470813,0.062947,0.000515,-0.000941,0.000229,0.999999,0.202688,-0.674627,0.012293
3,0.025000,-0.000883,-0.000075,-0.001595,0.999998,-0.466950,-0.470821,0.063127,0.000513,-0.000900,0.000300,0.999999,0.202694,-0.674617,0.012326
4,0.033000,-0.004686,-0.007433,-0.002199,0.999959,-0.467101,-0.470803,0.062984,0.000525,-0.000842,0.000289,1.000000,0.202704,-0.674607,0.012327
5,0.042000,-0.007681,-0.012268,-0.002029,0.999893,-0.467108,-0.470808,0.062965,-0.000033,-0.000231,0.000037,1.000000,0.202750,-0.674613,0.012255
6,0.050000,-0.007954,-0.012941,-0.002827,0.999881,-0.467277,-0.470729,0.062988,-0.000137,-0.000259,0.000067,1.000000,0.202740,-0.674617,0.012192
7,0.058000,-0.001405,-0.001407,-0.001561,0.999997,-0.466939,-0.470824,0.063148,0.000391,-0.000694,0.000240,1.000000,0.202709,-0.674614,0.012287
8,0.067000,-0.005945,-0.009908,-0.001668,0.999932,-0.467031,-0.470784,0.063007,0.000516,-0.000832,0.000267,1.000000,0.202712,-0.674610,0.012339
9,0.075000,-0.007772,-0.013128,-0.001672,0.999882,-0.467029,-0.470782,0.062982,0.000500,-0.000973,0.000302,0.999999,0.202699,-0.674618,0.012333
10,0.083000,-0.001774,-0.001280,-0.001765,0.999996,-0.466969,-0.470833,0.063103,0.000465,-0.000943,0.000275,0.999999,0.202706,-0.674618,0.012313
11,0.092000,-0.005364,-0.009015,-0.001900,0.999943,-0.467045,-0.470785,0.062988,0.000026,-0.000366,0.000061,1.000000,0.202751,-0.674619,0.012228
12,0.100000,-0.001896,-0.001942,-0.001435,0.999995,-0.466949,-0.470817,0.063126,0.000339,-0.000553,0.000289,1.000000,0.202704,-0.674617,0.012300
13,0.108000,-0.000354,0.000605,-0.001588,0.999999,-0.466953,-0.470813,0.063136,0.000513,-0.000911,0.000277,0.999999,0.202697,-0.674613,0.012332
14,0.117000,-0.005837,-0.009538,-0.001826,0.999936,-0.467051,-0.470783,0.063007,0.000515,-0.000840,0.000265,1.000000,0.202700,-0.674611,0.012346
15,0.125000,-0.001359,-0.000978,-0.001598,0.999997,-0.466950,-0.470822,0.063118,0.000486,-0.000806,0.000279,1.000000,0.202695,-0.674616,0.012318
16,0.133000,-0.005579,-0.009241,-0.001721,0.999940,-0.467036,-0.470786,0.062993,-0.000030,-0.000256,0.000016,1.000000,0.202755,-0.674608,0.012231
17,0.142000,-0.001370,-0.000501,-0.001646,0.999998,-0.466954,-0.470845,0.063114,-0.000168,-0.000067,0.000090,1.000000,0.202752,-0.674605,0.012221
18,0.150000,-0.005246,-0.008895,-0.001951,0.999945,-0.467033,-0.470779,0.062985,0.000320,-0.000806,0.000310,1.000000,0.202698,-0.674607,0.012297
19,0.158000,-0.001753,-0.001497,-0.001511,0.999996,-0.466945,-0.470827,0.063153,0.000529,-0.000738,0.000260,1.000000,0.202711,-0.674612,0.012349
20,0.167000,-0.005496,-0.009434,-0.001912,0.999939,-0.467022,-0.470787,0.063009,0.000028,-0.000287,0.000045,1.000000,0.202746,-0.674618,0.012259
21,0.175000,-0.001320,-0.000938,-0.001602,0.999997,-0.466942,-0.470815,0.063142,-0.000085,-0.000074,0.000028,1.000000,0.202749,-0.674614,0.012234
22,0.183000,-0.000549,0.000551,-0.001585,0.999999,-0.466951,-0.470816,0.063133,0.000334,-0.000718,0.000226,1.000000,0.202709,-0.674607,0.012294
23,0.192000,-0.000877,0.000158,-0.001592,0.999998,-0.466949,-0.470818,0.063145,0.000489,-0.000831,0.000297,1.000000,0.202698,-0.674613,0.012331
24,0.200000,-0.001197,-0.000453,-0.001551,0.999998,-0.466953,-0.470819,0.063137,0.000530,-0.001023,0.000318,0.999999,0.202689,-0.674617,0.012323
25,0.208000,-0.006093,-0.010183,-0.001865,0.999928,-0.467078,-0.470779,0.062977,0.000490,-0.000994,0.000292,0.999999,0.202691,-0.674622,0.012314
26,0.217000,-0.002246,-0.002188,-0.001489,0.999994,-0.466970,-0.470816,0.063132,0.000475,-0.000729,0.000243,1.000000,0.202707,-0.674606,0.012322
27,0.225000,-0.001191,-0.000253,-0.001482,0.999998,-0.466942,-0.470827,0.063157,0.000460,-0.000731,0.000233,1.000000,0.202703,-0.674607,0.012329
28,0.233000,-0.001156,0.000074,-0.001699,0.999998,-0.466969,-0.470837,0.063133,0.000480,-0.000886,0.000253,1.000000,0.202690,-0.674613,0.012333
29,0.242000,-0.000373,0.000951,-0.001598,0.999998,-0.466963,-0.470813,0.063135,0.000589,-0.000952,0.000221,0.999999,0.202690,-0.674620,0.012322
30,0.250000,-0.000657,0.000503,-0.001537,0.999999,-0.466964,-0.470814,0.063143,0.000498,-0.000931,0.000282,0.999999,0.202691,-0.674620,0.012322
31,0.258000,-0.005806,-0.009666,-0.001773,0.999935,-0.467052,-0.470772,0.062977,0.000472,-0.000882,0.000241,1.000000,0.202701,-0.674612,0.012324
32,0.267000,-0.002204,-0.002179,-0.001499,0.999994,-0.466954,-0.470814,0.063141,0.000429,-0.000879,0.000271,1.000000,0.202705,-0.674609,0.012325
33,0.275000,-0.000163,0.000895,-0.001771,0.999998,-0.466936,-0.470818,0.063169,-0.000033,-0.000289,0.000066,1.000000,0.202746,-0.674608,0.012254
34,0.283000,-0.000711,0.000122,-0.001786,0.999998,-0.466945,-0.470814,0.063157,0.000299,-0.000618,0.000289,1.000000,0.202705,-0.674603,0.012302
35,0.292000,-0.000997,0.000122,-0.001784,0.999998,-0.466968,-0.470835,0.063142,0.000444,-0.000841,0.000262,1.000000,0.202697,-0.674608,0.012328
36,0.300000,-0.000746,0.000361,-0.001557,0.999998,-0.466948,-0.470815,0.063139,0.000493,-0.001005,0.000278,0.999999,0.202694,-0.674613,0.012319
37,0.308000,-0.006123,-0.009553,-0.001843,0.999934,-0.467080,-0.470807,0.062989,0.000502,-0.000820,0.000265,1.000000,0.202703,-0.674609,0.012316
38,0.317000,-0.002330,-0.002294,-0.001372,0.999994,-0.466951,-0.470825,0.063113,-0.000022,-0.000294,-0.000031,1.000000,0.202747,-0.674604,0.012242
39,0.325000,-0.001020,-0.000128,-0.001491,0.999998,-0.466950,-0.470816,0.063148,0.000331,-0.000611,0.000226,1.000000,0.202700,-0.674607,0.012304
40,0.333000,-0.001286,-0.000774,-0.001536,0.999998,-0.466951,-0.470802,0.063141,0.000550,-0.000950,0.000284,0.999999,0.202691,-0.674620,0.012335
41,0.342000,-0.000956,-0.000303,-0.001734,0.999998,-0.466943,-0.470813,0.063174,0.000489,-0.000945,0.000262,0.999999,0.202693,-0.674607,0.012342
42,0.350000,-0.000647,0.000280,-0.001539,0.999999,-0.466941,-0.470809,0.063145,0.000465,-0.000868,0.000264,1.000000,0.202691,-0.674606,0.012329
43,0.358000,-0.000758,0.000339,-0.001513,0.999999,-0.466955,-0.470819,0.063145,-0.000008,-0.000312,0.000010,1.000000,0.202736,-0.674604,0.012242
44,0.367000,-0.000936,0.000303,-0.001430,0.999999,-0.466942,-0.470822,0.063146,-0.000120,0.000088,-0.000019,1.000000,0.202745,-0.674593,0.012237
45,0.375000,-0.005891,-0.009525,-0.002248,0.999935,-0.467117,-0.470791,0.062988,0.000358,-0.000678,0.000232,1.000000,0.202699,-0.674600,0.012293
46,0.383000,-0.007597,-0.012616,-0.001666,0.999890,-0.467046,-0.470771,0.062983,0.000529,-0.000878,0.000212,1.000000,0.202697,-0.674607,0.012338
47,0.392000,-0.007543,-0.012692,-0.001653,0.999890,-0.467051,-0.470775,0.062964,0.000518,-0.000989,0.000238,0.999999,0.202693,-0.674620,0.012325
48,0.400000,-0.001714,-0.001479,-0.001506,0.999996,-0.466952,-0.470820,0.063139,0.000021,-0.000118,-0.000007,1.000000,0.202747,-0.674609,0.012262
49,0.408000,-0.005754,-0.009243,-0.001664,0.999939,-0.467034,-0.470785,0.063001,-0.000161,-0.000000,0.000010,1.000000,0.202755,-0.674597,0.012241
50,0.417000,-0.002666,-0.002763,-0.001347,0.999992,-0.466939,-0.470818,0.063136,-0.000184,-0.000056,0.000047,1.000000,0.202751,-0.674595,0.012253
51,0.425000,-0.005965,-0.009769,-0.001684,0.999933,-0.467039,-0.470774,0.062996,0.000379,-0.000715,0.000296,1.000000,0.202704,-0.674600,0.012318
52,0.433000,-0.007881,-0.012902,-0.002021,0.999884,-0.467109,-0.470791,0.062948,0.000571,-0.000972,0.000241,0.999999,0.202695,-0.674608,0.012317
53,0.442000,-0.007680,-0.012703,-0.001714,0.999888,-0.467060,-0.470770,0.062954,0.000532,-0.000787,0.000204,1.000000,0.202706,-0.674606,0.012321
54,0.450000,-0.001822,-0.001477,-0.001510,0.999996,-0.466962,-0.470809,0.063142,0.000444,-0.000752,0.000248,1.000000,0.202700,-0.674607,0.012323
55,0.458000,-0.005729,-0.009286,-0.001679,0.999939,-0.467029,-0.470790,0.063004,0.000472,-0.000617,0.000213,1.000000,0.202707,-0.674598,0.012337
56,0.467000,-0.007844,-0.013247,-0.001596,0.999880,-0.467051,-0.470783,0.062975,0.000507,-0.000631,0.000177,1.000000,0.202701,-0.674600,0.012335
57,0.475000,-0.001852,-0.001826,-0.001478,0.999996,-0.466951,-0.470819,0.063142,0.000501,-0.000885,0.000257,1.000000,0.202695,-0.674607,0.012329
58,0.483000,-0.005101,-0.008404,-0.001814,0.999950,-0.467049,-0.470769,0.062999,0.000517,-0.000855,0.000233,1.000000,0.202698,-0.674598,0.012326
59,0.492000,-0.007419,-0.012346,-0.001797,0.999895,-0.467076,-0.470758,0.062966,0.000522,-0.000754,0.000195,1.000000,0.202715,-0.674596,0.012329
60,0.500000,-0.002009,-0.001862,-0.001499,0.999995,-0.466956,-0.470811,0.063142,0.000457,-0.000779,0.000245,1.000000,0.202697,-0.674603,0.012330
61,0.508000,-0.005939,-0.009755,-0.001621,0.999933,-0.467030,-0.470780,0.062996,0.000422,-0.000792,0.000259,1.000000,0.202702,-0.674604,0.012330
62,0.517000,-0.007670,-0.012926,-0.001519,0.999886,-0.467032,-0.470783,0.062969,0.000426,-0.000735,0.000228,1.000000,0.202705,-0.674606,0.012333
63,0.525000,-0.007937,-0.012956,-0.002019,0.999883,-0.467107,-0.470797,0.062952,0.000482,-0.000920,0.000272,1.000000,0.202691,-0.674609,0.012314
64,0.533000,-0.007298,-0.011990,-0.001614,0.999900,-0.467059,-0.470764,0.062964,0.000502,-0.000863,0.000271,1.000000,0.202696,-0.674607,0.012319
65,0.542000,-0.001735,-0.001091,-0.001670,0.999997,-0.466968,-0.470837,0.063118,0.000512,-0.000791,0.000219,1.000000,0.202707,-0.674605,0.012312
66,0.550000,-0.000501,0.000712,-0.001719,0.999998,-0.466953,-0.470813,0.063146,0.000506,-0.000798,0.000246,1.000000,0.202701,-0.674612,0.012318
67,0.558000,-0.005960,-0.010076,-0.001647,0.999930,-0.467043,-0.470776,0.062986,0.000489,-0.000909,0.000282,1.000000,0.202685,-0.674615,0.012328
68,0.567000,-0.008350,-0.014000,-0.001554,0.999866,-0.467056,-0.470768,0.062987,0.000549,-0.000980,0.000289,0.999999,0.202693,-0.674608,0.012336
69,0.575000,-0.002138,-0.002038,-0.001529,0.999994,-0.466957,-0.470801,0.063144,0.000553,-0.000837,0.000238,1.000000,0.202703,-0.674610,0.012335
70,0.583000,-0.005065,-0.007868,-0.002256,0.999954,-0.467097,-0.470798,0.062980,0.000479,-0.000833,0.000263,1.000000,0.202704,-0.674619,0.012317
71,0.592000,-0.001759,-0.001431,-0.001533,0.999996,-0.466954,-0.470821,0.063128,0.000473,-0.000777,0.000248,1.000000,0.202702,-0.674619,0.012305
72,0.600000,-0.006003,-0.009937,-0.001620,0.999931,-0.467040,-0.470776,0.062999,0.000505,-0.000791,0.000228,1.000000,0.202695,-0.674606,0.012328
73,0.608000,-0.008141,-0.013588,-0.001527,0.999873,-0.467050,-0.470777,0.062986,0.000543,-0.000919,0.000258,0.999999,0.202694,-0.674616,0.012340
74,0.617000,-0.007771,-0.013375,-0.001708,0.999879,-0.467048,-0.470764,0.062978,0.000557,-0.000982,0.000296,0.999999,0.202691,-0.674625,0.012323
75,0.625000,-0.001559,-0.001038,-0.001715,0.999997,-0.466961,-0.470836,0.063124,0.000542,-0.000902,0.000225,1.000000,0.202691,-0.674615,0.012301
76,0.633000,-0.005474,-0.008784,-0.001839,0.999945,-0.467057,-0.470771,0.062993,0.000504,-0.000793,0.000230,1.000000,0.202699,-0.674612,0.012312
77,0.642000,-0.007946,-0.013339,-0.001610,0.999878,-0.467059,-0.470774,0.062958,0.000481,-0.000914,0.000265,1.000000,0.202699,-0.674612,0.012319
78,0.650000,-0.001402,-0.000910,-0.001513,0.999998,-0.466954,-0.470807,0.063134,0.000491,-0.000825,0.000288,1.000000,0.202697,-0.674614,0.012333
79,0.658000,-0.000553,0.000573,-0.001544,0.999999,-0.466951,-0.470810,0.063134,0.000469,-0.001023,0.000322,0.999999,0.202691,-0.674621,0.012310
80,0.667000,-0.005895,-0.009235,-0.003309,0.999935,-0.467330,-0.470739,0.062994,0.000535,-0.000784,0.000212,1.000000,0.202706,-0.674612,0.012315
81,0.675000,-0.002322,-0.002396,-0.001522,0.999993,-0.466961,-0.470799,0.063112,0.000501,-0.001009,0.000293,0.999999,0.202702,-0.674615,0.012297
82,0.683000,-0.005694,-0.009322,-0.001734,0.999939,-0.467056,-0.470765,0.062985,0.000458,-0.000847,0.000263,1.000000,0.202705,-0.674607,0.012327
83,0.692000,-0.007334,-0.012218,-0.001585,0.999897,-0.467052,-0.470783,0.062974,0.000514,-0.000913,0.000296,0.999999,0.202689,-0.674617,0.012334
84,0.700000,-0.001817,-0.001347,-0.001661,0.999996,-0.466977,-0.470849,0.063128,0.000532,-0.000885,0.000283,1.000000,0.202690,-0.674623,0.012329
85,0.708000,-0.005980,-0.009524,-0.001654,0.999935,-0.467038,-0.470792,0.062990,0.000514,-0.000809,0.000210,1.000000,0.202705,-0.674612,0.012320
86,0.717000,-0.007736,-0.012835,-0.001669,0.999886,-0.467068,-0.470766,0.062959,0.000474,-0.000925,0.000247,1.000000,0.202705,-0.674608,0.012309
87,0.725000,-0.002188,-0.002280,-0.001429,0.999994,-0.466949,-0.470802,0.063138,0.000488,-0.000789,0.000251,1.000000,0.202708,-0.674607,0.012321
88,0.733000,-0.005229,-0.008266,-0.002185,0.999950,-0.467094,-0.470798,0.062982,0.000482,-0.000864,0.000234,1.000000,0.202696,-0.674605,0.012319
89,0.742000,-0.007275,-0.011803,-0.002772,0.999900,-0.467252,-0.470740,0.062993,0.000484,-0.000797,0.000218,1.000000,0.202696,-0.674611,0.012319
90,0.750000,-0.007228,-0.012144,-0.001655,0.999899,-0.467049,-0.470782,0.062966,0.000485,-0.000736,0.000224,1.000000,0.202697,-0.674612,0.012320
91,0.758000,-0.007621,-0.012246,-0.001981,0.999894,-0.467099,-0.470799,0.062973,0.000472,-0.000845,0.000292,1.000000,0.202702,-0.674610,0.012325
92,0.767000,-0.002066,-0.001642,-0.001591,0.999995,-0.466969,-0.470811,0.063148,0.000478,-0.000755,0.000251,1.000000,0.202712,-0.674603,0.012327
93,0.775000,-0.005540,-0.009016,-0.001808,0.999942,-0.467060,-0.470766,0.062987,-0.000002,-0.000147,-0.000021,1.000000,0.202753,-0.674603,0.012249
94,0.783000,-0.007955,-0.012736,-0.001909,0.999885,-0.467113,-0.470805,0.062954,0.000277,-0.000630,0.000261,1.000000,0.202701,-0.674602,0.012279
95,0.792000,-0.007908,-0.013197,-0.001684,0.999880,-0.467069,-0.470778,0.062956,0.000497,-0.001002,0.000291,0.999999,0.202688,-0.674615,0.012307
96,0.800000,-0.001994,-0.001837,-0.001486,0.999995,-0.466946,-0.470817,0.063147,0.000468,-0.000704,0.000252,1.000000,0.202708,-0.674600,0.012350
97,0.808000,-0.000817,0.000590,-0.001720,0.999998,-0.466960,-0.470830,0.063146,0.000454,-0.000908,0.000271,1.000000,0.202699,-0.674608,0.012323
98,0.817000,-0.000483,0.000852,-0.001677,0.999998,-0.466959,-0.470809,0.063150,0.000496,-0.000691,0.000234,1.000000,0.202710,-0.674605,0.012322
99,0.825000,-0.005977,-0.010076,-0.001790,0.999930,-0.467053,-0.470776,0.062967,0.000471,-0.000957,0.000249,0.999999,0.202696,-0.674611,0.012292
100,0.833000,-0.007983,-0.013092,-0.002004,0.999880,-0.467094,-0.470800,0.062951,0.000468,-0.000864,0.000232,1.000000,0.202696,-0.674604,0.012314
101,0.842000,-0.007958,-0.013271,-0.001700,0.999879,-0.467065,-0.470774,0.062952,0.000502,-0.000904,0.000257,1.000000,0.202693,-0.674607,0.012322
102,0.850000,-0.007800,-0.012782,-0.001524,0.999887,-0.467048,-0.470775,0.062977,-0.000020,-0.000351,0.000064,1.000000,0.202744,-0.674611,0.012248
103,0.858000,-0.007764,-0.012394,-0.001981,0.999891,-0.467120,-0.470802,0.062980,0.000255,-0.000591,0.000266,1.000000,0.202710,-0.674605,0.012291
104,0.867000,-0.001964,-0.002041,-0.001510,0.999995,-0.466960,-0.470810,0.063116,-0.000091,-0.000329,0.000081,1.000000,0.202750,-0.674608,0.012238
105,0.875000,-0.000603,0.000474,-0.001617,0.999998,-0.466951,-0.470810,0.063172,0.000294,-0.000646,0.000273,1.000000,0.202701,-0.674603,0.012302
106,0.883000,-0.005831,-0.009548,-0.002156,0.999935,-0.467103,-0.470790,0.062965,0.000531,-0.000966,0.000238,0.999999,0.202694,-0.674610,0.012312
107,0.892000,-0.001976,-0.001375,-0.001625,0.999996,-0.466971,-0.470846,0.063106,0.000523,-0.000898,0.000206,1.000000,0.202696,-0.674610,0.012314
108,0.900000,-0.005607,-0.009100,-0.001705,0.999941,-0.467061,-0.470779,0.062984,-0.000012,-0.000177,0.000025,1.000000,0.202748,-0.674608,0.012243
109,0.908000,-0.001933,-0.001694,-0.001501,0.999996,-0.466950,-0.470811,0.063149,-0.000183,0.000092,0.000016,1.000000,0.202763,-0.674594,0.012243
110,0.917000,-0.005299,-0.008915,-0.001829,0.999945,-0.467047,-0.470766,0.062996,0.000277,-0.000686,0.000258,1.000000,0.202708,-0.674599,0.012306
111,0.925000,-0.007954,-0.013280,-0.001616,0.999879,-0.467048,-0.470764,0.062959,0.000570,-0.000873,0.000237,1.000000,0.202694,-0.674608,0.012332
112,0.933000,-0.007332,-0.012301,-0.001575,0.999896,-0.467060,-0.470771,0.062963,0.000530,-0.000931,0.000277,0.999999,0.202694,-0.674617,0.012322
113,0.942000,-0.001520,-0.001120,-0.001364,0.999997,-0.466946,-0.470818,0.063113,0.000012,-0.000104,-0.000016,1.000000,0.202753,-0.674599,0.012248
114,0.950000,-0.000980,0.000179,-0.001542,0.999998,-0.466947,-0.470810,0.063159,0.000226,-0.000431,0.000243,1.000000,0.202710,-0.674596,0.012286
115,0.958000,-0.001452,-0.000840,-0.001529,0.999997,-0.466949,-0.470795,0.063145,0.000493,-0.000790,0.000242,1.000000,0.202696,-0.674602,0.012322
116,0.967000,-0.006380,-0.010529,-0.001681,0.999923,-0.467047,-0.470768,0.062999,0.000509,-0.000953,0.000268,0.999999,0.202693,-0.674607,0.012333
117,0.975000,-0.008055,-0.013230,-0.001956,0.999878,-0.467107,-0.470793,0.062954,0.000470,-0.001064,0.000260,0.999999,0.202689,-0.674615,0.012306
